name,category,real,cwe
BenchmarkTest00027,sqli,true,89
BenchmarkTest00103,sqli,true,89
BenchmarkTest00109,sqli,true,89
BenchmarkTest00123,crypto,true,327
BenchmarkTest00131,pathtraver,false,22
BenchmarkTest00132,pathtraver,false,22
BenchmarkTest00178,weakrand,false,330
BenchmarkTest00188,weakrand,false,330
BenchmarkTest00230,weakrand,true,330
BenchmarkTest00272,hash,true,328
BenchmarkTest00285,xss,false,79
BenchmarkTest00293,cmdi,true,78
BenchmarkTest00323,trustbound,false,501
BenchmarkTest00327,trustbound,true,501
BenchmarkTest00357,crypto,false,327
BenchmarkTest00380,xss,true,79
BenchmarkTest00384,xss,true,79
BenchmarkTest00397,weakrand,true,330
BenchmarkTest00414,weakrand,false,330
BenchmarkTest00419,weakrand,false,330
BenchmarkTest00420,weakrand,false,330
BenchmarkTest00457,pathtraver,true,22
BenchmarkTest00512,sqli,true,89
BenchmarkTest00572,cmdi,false,78
BenchmarkTest00637,hash,true,328
BenchmarkTest00654,weakrand,true,330
BenchmarkTest00667,weakrand,false,330
BenchmarkTest00670,trustbound,true,501
BenchmarkTest00701,ldapi,false,90
BenchmarkTest00788,pathtraver,true,22
BenchmarkTest00815,cmdi,true,78
BenchmarkTest00859,crypto,true,327
BenchmarkTest00865,pathtraver,false,22
BenchmarkTest00871,hash,true,328
BenchmarkTest00882,xss,false,79
BenchmarkTest00896,cmdi,false,78
BenchmarkTest00900,weakrand,true,330
BenchmarkTest00903,securecookie,true,614
BenchmarkTest00915,weakrand,false,330
BenchmarkTest00934,sqli,false,89
BenchmarkTest00939,sqli,false,89
BenchmarkTest00953,pathtraver,true,22
BenchmarkTest00954,pathtraver,false,22
BenchmarkTest01003,sqli,true,89
BenchmarkTest01004,sqli,true,89
BenchmarkTest01084,sqli,true,89
BenchmarkTest01094,sqli,true,89
BenchmarkTest01097,sqli,true,89
BenchmarkTest01106,crypto,true,327
BenchmarkTest01127,weakrand,true,330
BenchmarkTest01139,weakrand,false,330
BenchmarkTest01140,weakrand,false,330
BenchmarkTest01186,securecookie,true,614
BenchmarkTest01201,weakrand,false,330
BenchmarkTest01289,cmdi,false,78
BenchmarkTest01293,weakrand,false,330
BenchmarkTest01329,pathtraver,true,22
BenchmarkTest01379,sqli,true,89
BenchmarkTest01394,sqli,true,89
BenchmarkTest01409,pathtraver,false,22
BenchmarkTest01456,trustbound,true,501
BenchmarkTest01471,sqli,true,89
BenchmarkTest01482,crypto,false,327
BenchmarkTest01495,pathtraver,true,22
BenchmarkTest01517,cmdi,true,78
BenchmarkTest01551,trustbound,true,501
BenchmarkTest01555,sqli,false,89
BenchmarkTest01557,sqli,true,89
BenchmarkTest01644,pathtraver,false,22
BenchmarkTest01719,sqli,false,89
BenchmarkTest01729,sqli,false,89
BenchmarkTest01732,sqli,false,89
BenchmarkTest01840,pathtraver,true,22
BenchmarkTest01858,weakrand,true,330
BenchmarkTest01882,sqli,true,89
BenchmarkTest01894,xpathi,true,643
BenchmarkTest02070,cmdi,true,78
BenchmarkTest02188,sqli,false,89
BenchmarkTest02197,pathtraver,true,22
BenchmarkTest02233,xss,false,79
BenchmarkTest02234,xss,true,79
BenchmarkTest02262,trustbound,true,501
BenchmarkTest02282,sqli,false,89
BenchmarkTest02299,ldapi,true,90
BenchmarkTest02324,xss,true,79
BenchmarkTest02365,sqli,false,89
BenchmarkTest02414,cmdi,true,78
BenchmarkTest02419,weakrand,true,330
BenchmarkTest02466,pathtraver,true,22
BenchmarkTest02473,weakrand,true,330
BenchmarkTest02496,cmdi,true,78
BenchmarkTest02534,sqli,true,89
BenchmarkTest02575,hash,true,328
BenchmarkTest02601,xss,false,79
BenchmarkTest02604,weakrand,true,330
BenchmarkTest02620,weakrand,false,330
BenchmarkTest02622,trustbound,true,501
BenchmarkTest02655,sqli,true,89
BenchmarkTest02662,crypto,false,327
BenchmarkTest02709,securecookie,true,614
